epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,28.5575,0.90757,1.00692,1.06603,0.20445,0.50869,0.49032,0.35664,0.98689,2.8145,0.93419,0.000457925,0.000457925,0.000457925
22,29.6113,0.87233,1.00446,1.06321,0.61371,0.82196,0.67768,0.54048,0.90127,1.81955,0.89751,0.000468435,0.000468435,0.000468435
23,30.6646,0.87725,1.04061,1.04987,0.72187,0.94521,0.92,0.68886,0.94944,1.21026,0.89262,0.000477846,0.000477846,0.000477846
24,31.807,0.79071,0.84488,1.00546,0.85795,0.9871,0.97,0.74663,0.96565,1.07899,0.89767,0.000486156,0.000486156,0.000486156
25,32.9217,0.81444,0.92049,0.9749,0.82114,0.75,0.88042,0.69347,0.88736,1.37901,0.88718,0.000493365,0.000493365,0.000493365
26,34.002,0.89549,0.89161,1.02015,0.66045,1,0.89143,0.70698,0.94401,1.23518,0.9058,0.000499475,0.000499475,0.000499475
27,35.1364,0.79411,0.81249,1.02746,0.80214,0.75,0.87208,0.68768,0.89507,1.35831,0.90704,0.000504484,0.000504484,0.000504484
28,36.3782,0.70728,0.70008,0.91798,0.80214,0.75,0.87208,0.68768,0.89507,1.35831,0.90704,0.000508393,0.000508393,0.000508393
29,38.0021,0.79954,0.77726,0.99635,0.63193,0.94865,0.92,0.73029,0.83871,1.13477,0.88627,0.000511202,0.000511202,0.000511202
30,39.4617,0.84407,0.94233,1.01502,0.69658,0.73868,0.82536,0.65791,0.84846,1.07751,0.85995,0.000512911,0.000512911,0.000512911
31,40.5486,0.80767,0.76581,0.97262,0.69658,0.73868,0.82536,0.65791,0.84846,1.07751,0.85995,0.000513519,0.000513519,0.000513519
32,41.7038,0.77418,0.72419,0.98886,0.94718,0.625,0.82625,0.63989,0.89106,1.11704,0.85817,0.000513028,0.000513028,0.000513028
33,42.9218,0.79417,0.72754,0.97348,0.97967,0.75,0.88042,0.71375,0.90433,0.90451,0.86194,0.000511436,0.000511436,0.000511436
34,44.0078,0.78975,0.79676,0.98431,0.97967,0.75,0.88042,0.71375,0.90433,0.90451,0.86194,0.000508743,0.000508743,0.000508743
35,45.1332,0.81578,0.76101,1.00263,0.94813,0.7418,0.85611,0.66009,0.9277,0.95802,0.87092,0.000504951,0.000504951,0.000504951
36,46.1723,0.66694,0.60793,0.94872,0.68747,0.74729,0.87,0.68301,0.93335,1.00834,0.86819,0.000500058,0.000500058,0.000500058
37,47.2093,0.67035,0.58696,0.93287,0.68747,0.74729,0.87,0.68301,0.93335,1.00834,0.86819,0.000494065,0.000494065,0.000494065
38,48.2587,0.74168,0.74154,1.01465,0.59385,0.74445,0.80929,0.62899,0.83103,0.92961,0.84321,0.000486972,0.000486972,0.000486972
39,49.5446,0.70581,0.62854,0.90668,0.88466,0.74259,0.88667,0.68249,0.93955,0.86444,0.8622,0.000478779,0.000478779,0.000478779
40,51.1939,0.73245,0.6208,0.96802,0.88466,0.74259,0.88667,0.68249,0.93955,0.86444,0.8622,0.000469486,0.000469486,0.000469486
41,52.5518,0.63678,0.58412,0.95864,0.63883,0.98202,0.87,0.67963,0.83267,0.80828,0.81602,0.000459092,0.000459092,0.000459092
42,53.6672,0.76701,0.73612,0.98526,0.68249,0.93888,0.89708,0.7181,0.86043,0.79326,0.82872,0.000447598,0.000447598,0.000447598
43,54.7485,0.71122,0.6205,0.96316,0.68249,0.93888,0.89708,0.7181,0.86043,0.79326,0.82872,0.000435004,0.000435004,0.000435004
44,55.8999,0.70373,0.61736,0.92894,1,0.85689,0.95333,0.7335,0.96651,0.71025,0.86077,0.000421309,0.000421309,0.000421309
45,56.8847,0.64157,0.64814,0.95508,1,0.85689,0.95333,0.7335,0.96651,0.71025,0.86077,0.000406515,0.000406515,0.000406515
46,57.9629,0.71454,0.63569,0.94558,0.89786,0.83589,0.95333,0.67646,1.10015,0.69694,0.87408,0.00039062,0.00039062,0.00039062
47,59.0891,0.74491,0.56297,0.97465,0.89786,0.83589,0.95333,0.67646,1.10015,0.69694,0.87408,0.000373625,0.000373625,0.000373625
48,60.2568,0.70632,0.57062,0.94332,0.84294,0.875,0.95333,0.71724,0.95343,0.67337,0.82614,0.000355529,0.000355529,0.000355529
49,61.3561,0.66705,0.53234,0.93817,0.84294,0.875,0.95333,0.71724,0.95343,0.67337,0.82614,0.000336334,0.000336334,0.000336334
50,62.7563,0.7273,0.59761,1.00191,0.78136,0.99578,0.95333,0.72447,0.93707,0.64747,0.81845,0.000316038,0.000316038,0.000316038
51,66.7044,0.56614,0.54529,0.86695,0.78136,0.99578,0.95333,0.72447,0.93707,0.64747,0.81845,0.000291725,0.000291725,0.000291725
52,68.475,0.54926,0.55288,0.87779,0.82796,0.97614,0.95333,0.79313,0.75441,0.70408,0.79069,0.00026422,0.00026422,0.00026422
53,69.7746,0.55631,0.54695,0.87413,0.82796,0.97614,0.95333,0.79313,0.75441,0.70408,0.79069,0.000236714,0.000236714,0.000236714
54,70.9408,0.62786,0.58573,0.92802,0.82375,0.99143,0.95333,0.81673,0.69701,0.70314,0.78782,0.000209209,0.000209209,0.000209209
55,72.0635,0.66728,0.55468,0.85969,0.82375,0.99143,0.95333,0.81673,0.69701,0.70314,0.78782,0.000181703,0.000181703,0.000181703
56,73.2458,0.57555,0.52063,0.85696,1,0.91818,0.995,0.82959,0.71256,0.61614,0.79312,0.000154198,0.000154198,0.000154198
57,74.3231,0.52441,0.47885,0.86139,1,0.91818,0.995,0.82959,0.71256,0.61614,0.79312,0.000126692,0.000126692,0.000126692
58,75.5983,0.48738,0.48754,0.82832,0.98338,0.9153,0.995,0.82961,0.72752,0.56212,0.80119,9.91865e-05,9.91865e-05,9.91865e-05
59,77.3063,0.51441,0.523,0.8456,0.98338,0.9153,0.995,0.82961,0.72752,0.56212,0.80119,7.1681e-05,7.1681e-05,7.1681e-05
60,78.617,0.48896,0.47198,0.84923,0.98588,0.90405,0.995,0.82964,0.74145,0.51326,0.80592,4.41755e-05,4.41755e-05,4.41755e-05
